ip,anonymityLevel,asn,country,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,isp,responseTime
"188.121.211.26","elite","AS16010","GE","65","Magticom","8080","socks4","1","97","2870","2950","2025-07-18T01:13:39.258Z","Magticom Ltd.","4212"
"78.40.104.5","elite","AS49628","GE","74","Trialeti-Neti LLC","1080","socks4","1","100","10162","10184","2025-07-18T00:28:20.056Z","TrialetiNet","3517"
"31.146.161.194","elite","AS35805","GE","65","Silknet Gpon","5678","socks4","5","98","9975","10190","2025-07-18T00:27:03.556Z","JSC \"Silknet\"","3108"
"85.117.63.99","elite","AS20771","GE","69","Caucasus","4153","socks4","1","63","6402","10203","2025-07-18T00:24:10.956Z","Caucasus Online Ltd.","4295"
"92.241.92.218","elite","AS35805","GE","66","Wanex Network","14888","socks4","1","96","3322","3473","2025-07-18T00:20:32.054Z","JSC \"Silknet\"","3488"
"188.169.142.196","elite","AS35805","GE","75","UTG MPLS DSL","4145","socks4","1","99","9917","10031","2025-07-18T00:19:00.049Z","JSC \"Silknet\"","4682"
"178.134.71.138","elite","AS35805","GE","70","Silknet - 6","37590","socks4","1","99","10066","10159","2025-07-18T00:12:22.437Z","JSC \"Silknet\"","4309"
"31.146.84.142","elite","AS35805","GE","74","Silknet Gpon","61669","socks5","1","98","3342","3411","2025-07-18T00:12:04.434Z","JSC \"Silknet\"","3894"
"85.117.63.199","elite","AS20771","GE","73","Caucasus","4145","socks4","1","98","3328","3382","2025-07-18T00:10:49.945Z","Caucasus Online Ltd.","3577"
"81.16.248.246","elite","AS34666","GE","84","JSC \"Global Erty\"","25566","socks4","1","98","3410","3486","2025-07-17T23:53:32.960Z","JSC \"Global Erty\"","4412"
"5.178.204.235","elite","AS16010","GE","65","N/A","2082","socks4","1","77","1135","1476","2025-07-17T23:45:10.333Z","MAGTI-BROADBAND","4607"
"188.169.84.30","elite","AS35805","GE","68","UTG MPLS DSL","5678","socks4","1","98","9888","10100","2025-07-17T23:35:53.148Z","JSC \"Silknet\"","4699"
"31.146.60.54","elite","AS35805","GE","76","Silknet Gpon","8080","socks4","1","98","9964","10150","2025-07-17T23:34:21.927Z","JSC \"Silknet\"","4397"
"185.189.208.65","elite","AS51142","GE","55","ExpressNet","4153","socks4","65","99","10167","10227","2025-07-17T23:34:03.448Z","LLC Ekspres Netvork","2586"
"94.43.64.47","elite","AS35805","GE","71","Silknet - 4","5678","socks4","1","100","10228","10277","2025-07-17T23:28:18.540Z","JSC \"Silknet\"","4202"
"92.51.78.66","elite","AS44327","GE","65","N/A","4153","socks4","1","99","3440","3462","2025-07-17T23:04:21.153Z","T-net Network","3992"
"176.74.118.133","elite","AS34797","GE","93","Systemnet LTD","5678","socks4","1","99","10068","10171","2025-07-17T22:55:21.129Z","EGRISI","3494"
"212.72.149.234","elite","AS16010","GE","66","Sanet LTD","4145","socks4","1","40","4097","10224","2025-07-17T22:16:25.128Z","SANET-BOLNISI","4372"
"85.117.56.146","elite","AS20771","GE","73","Caucasus","4145","socks4","1","98","3421","3475","2025-07-17T22:06:10.030Z","Caucasus Online Ltd.","3579"
